videoId,title,lengthSeconds,keywords,shortDescription,allowRatings,viewCount,author,isPrivate
7X5jJRx1_r0,Air India plane crashes shortly after take off in Ahmedabad,344,Ahmedabad airport AMD; Air India Flight AI147; Al Jazeera; Al Jazeera English; Boeing 787 8 Dreamliner; Boeing 787 8 Dreamliner plane crash; India; India UK flight disruption; India plane crash; London gatwick airport LGW; Sardar Vallabhbhai Patel Airport; al jazeera live; al jazeera video; aljazeera; aljazeera English; aljazeera latest; aljazeera live; aljazeera live news; avation accidents; boeing aircraft malfunction; flight AI147 investigation; india latest news,"An Air India plane has crashed shortly after taking off from Ahmedabad airport in western India, local media has reported.
Air India said on Thursday that Flight AI171, a passenger flight to London Gatwick airport, was “involved in an incident”.
“At this moment, we are ascertaining the details and will share further updates,” Air India said on X.
Gatwick airport said that Flight AI171 had been due to arrive at 6.25pm local time (17:25GMT).

Rebecca Bundhun joins us live from Mumbai to discuss the latest updates.

Subscribe to our channel: http://bit.ly/AJSubscribe
Follow us on X: https://twitter.com/AJEnglish
Find us on Facebook: https://www.facebook.com/aljazeera
Check our website: http://www.aljazeera.com/
Check out our Instagram page: https://www.instagram.com/aljazeeraenglish/
Download AJE Mobile App: https://aje.io/AJEMobile

#India #IndiaPlaneCrash #AirIndiaPlaneCrash #AI147 #AirIndia147 #AhmedabadAirport #LondonGatwick #Boeing787 #DreamlinerCrash #AviationEmergency #FlightSafety #BoeingInvestigation #AirIndiaAccident",TRUE,405326,Al Jazeera English,FALSE
nFuLfEjvzMU,Video shows Air India plane crashing in Ahmedabad,211,Airplane Crash; Plane Crash; Boeing 787; CBS News Mornings Clips; World,"(Warning: Video in this report may be disturbing to viewers)

An Air India plane carrying 242 passengers and crew crashed shortly after takeoff in the city of Ahmedabad on Thursday, the airline said. Video taken by residents shows the Boeing 787-8 Dreamliner losing altitude and exploding. CBS News' Ramy Inocencio has the latest.

CBS News 24/7 is the premier anchored streaming news service from CBS News and Stations that is available free to everyone with access to the internet and is the destination for breaking news, live events, original reporting and storytelling, and programs from CBS News and Stations' top anchors and correspondents working locally, nationally and around the globe. It is available on more than 30 platforms across mobile, desktop and connected TVs for free, as well as CBSNews.com and Paramount+ and live in 91 countries.

Subscribe to the CBS News YouTube channel: https://youtube.com/cbsnews
Watch CBS News 24/7: https://cbsnews.com/live/
Download the CBS News app: https://cbsnews.com/mobile/
Follow CBS News on Instagram: https://instagram.com/cbsnews/
Like CBS News on Facebook: https://facebook.com/cbsnews
Follow CBS News on X: https://twitter.com/cbsnews
Subscribe to our newsletters: https://cbsnews.com/newsletters/
Try Paramount+ free: https://paramountplus.com/?ftag=PPM-05-10aeh8h

For video licensing inquiries, contact: licensing@veritone.com",TRUE,416455,CBS News,FALSE
75P3sOZLwls,Ahmedabad Plane Crash: What Air India Pilot's Final Words Could Mean? | What Is A Black Box?,18635,ahmedabad plane crash; air india plane crash; plane crash; plane crash in ahmedabad; ahmedabad plane crash news; ahmedabad plane crash live; passenger plane crash in ahmedabad; plane crash in ahmedabad live updates; ahmedabad mein plane crash; plane crash in Ahmedabad; Plane Crashes In Gujarat Ahmedabad; Ahmedabad plane crash news; Ahmedabad Airport news; Air India plane crash; Air India Ahmedabad crash; Air India crash video; Why did AI171 crash; Air India AI171 crash,"Ahmedabad Plane Crash: What Air India Pilot's Final Words Could Mean? | What Is A Black Box?

At least 265 people died in Ahmedabad after a London-bound Air India plane crashed into a government-run medical hostel moments after taking off from the city airport on Wednesday. The airline confirmed that the flight carried 242 passengers and there was only one survivor, who was seated on 11A. It also said that a digital video recorder was found, but a search was on to find the black box after earlier reports suggested that it had been discovered. 

#boeing787 #boeing787dreamliner #airsafety #injuredpassengers #emergencyresponse #internationalflight #airindia #airport #indianaviation #gatwickairport #londongatwick #242  #ahmedabadplanecrash #ahmedabadairplanecrash #ahmedabadnews #planecrashnewslive #planecrashnews #gujaratnews #gujaratplanecrashnews #gujaratplanecrashnewslive #indiatodaynews #indiatodaylive #indiatodaylivestream 

Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new video. 

All you need to do is PRESS THE BELL ICON next to the Subscribe button! 

India Today TV is India's leading English News Channel. India Today YouTube channel offers latest news videos on Politics, Business, Cricket, Bollywood, Lifestyle, Auto, Technology, Travel, Entertainment and a lot more. 

Stay tuned for latest updates and in-depth analysis of news from India and around the world! 

WhatsApp Channel: https://whatsapp.com/channel/0029Va2AnW3JENxxg7OuJv00

Download App: https://indiatoday.link/wHaj

Follow us: Official website: https://www.indiatoday.in/

Twitter: https://twitter.com/IndiaToday 

Facebook: https://www.facebook.com/IndiaToday",TRUE,12665,India Today,FALSE
WYWHsxUYkbI,Air India plane crash death toll rises to 270 | BBC News,276,bbc; bbc news; news; world news; breaking news; us news; world; america; usa; usa news; india news,"Doctors in India say 270 bodies have been recovered from the site of Thursday's plane crash in Ahmedabad.

The London-bound aircraft crashed into a residential area shortly after take-off killing all but one of the 242 passengers and crew members, a 40-year-old British man.

Officials have also been trying to establish how many people were killed on the ground and have been continuing the slow process of matching DNA samples to confirm the victims' identities.

Vigils honouring the dead have taken place across India and the UK.

India's Aircraft Accident Investigation Bureau (AAIB) is leading the inquiry into the cause of the crash, helped by teams from the US and UK.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#India #Ahmedabad #BBCNews",TRUE,381289,BBC News,FALSE
RoRIfBrM5d4,Ahmedabad Plane Crash: What Air India Pilot's Final Words Could Mean | India Today,38725,ahmedabad plane crash; air india plane crash; plane crash; plane crash in ahmedabad; ahmedabad plane crash news; ahmedabad plane crash live; passenger plane crash in ahmedabad; plane crash in ahmedabad live updates; ahmedabad mein plane crash; plane crash in Ahmedabad; Plane Crashes In Gujarat Ahmedabad; Ahmedabad plane crash news; Ahmedabad Airport news; Air India plane crash; Air India Ahmedabad crash; Air India crash video; Why did AI171 crash; Air India AI171 crash,"Ahmedabad Plane Crash: What Air India Pilot's Final Words Could Mean | India Today 

At least 265 people died in Ahmedabad after a London-bound Air India plane crashed into a government-run medical hostel moments after taking off from the city airport on Wednesday. The airline confirmed that the flight carried 242 passengers and there was only one survivor, who was seated on 11A. It also said that a digital video recorder was found, but a search was on to find the black box after earlier reports suggested that it had been discovered. 

#boeing787 #boeing787dreamliner #airsafety #injuredpassengers #emergencyresponse #internationalflight #airindia #airport #indianaviation #gatwickairport #londongatwick #242  #ahmedabadplanecrash #ahmedabadairplanecrash #ahmedabadnews #planecrashnewslive #planecrashnews #gujaratnews #gujaratplanecrashnews #gujaratplanecrashnewslive #indiatodaynews #indiatodaylive #indiatodaylivestream 

Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new video. 

All you need to do is PRESS THE BELL ICON next to the Subscribe button! 

India Today TV is India's leading English News Channel. India Today YouTube channel offers latest news videos on Politics, Business, Cricket, Bollywood, Lifestyle, Auto, Technology, Travel, Entertainment and a lot more. 

Stay tuned for latest updates and in-depth analysis of news from India and around the world! 

WhatsApp Channel: https://whatsapp.com/channel/0029Va2AnW3JENxxg7OuJv00

Download App: https://indiatoday.link/wHaj

Follow us: Official website: https://www.indiatoday.in/

Twitter: https://twitter.com/IndiaToday 

Facebook: https://www.facebook.com/IndiaToday",TRUE,56372,India Today,FALSE
agXNZ4QBY6I,Ahmedabad Plane Crash: 2nd Black Box Recovered Of Air India Flight AI 171 From Crash Site,195,breaking news; live news; news live; republic tv; arnabgoswami; ahmedabad plane crash; air india flight ai171; black box recovered ai171; air india crash update; aviation black box india; dgca investigation air india; ai171 crash site news; air india flight recorder; cockpit voice recorder recovered; aviation accident india 2025,"Ahmedabad Plane Crash: 2nd Black Box Recovered Of Air India Flight AI 171 From Crash Site

In a key development in the investigation of the tragic Ahmedabad plane crash, authorities have recovered the second black box of Air India Flight AI171 from the crash site. The black box, which contains crucial flight data and cockpit voice recordings, will aid forensic experts and aviation authorities in piecing together the final moments before the crash. Recovery teams, along with DGCA and Air India officials, continue to work at the site. This discovery is expected to shed light on the technical or human factors that may have led to the fatal incident.

#AhmedabadPlaneCrash #AirIndiaAI171 #BlackBoxRecovered #AviationInvestigation #AirIndiaCrash #BreakingNews #FlightAI171 #AviationSafety #DGCA #CrashInvestigation

-------------------------------------------------------------------------------------------------------------

Full Story On: https://www.republicworld.com

Republic TV is India's no.1 English news channel since its launch. Watch Republic YouTube Channel to get all the breaking news updates, LIVE news, videos and perspectives from Republic Media Network's battery of reporters, anchors, and producers spread across India and the world. Watch Republic for Arnab Goswami's most watched debates. Republic TV makes news accessible at all times and across devices. At Republic, we keep you updated with up-to-the-minute news on the world of politics, sports, entertainment, business, defense, science, health, lifestyle, gadgets, and much more. 

We believe in Breaking the story and Breaking the Silence. But most importantly, for us ‘You Are Republic, We Are Your Voice.’

Also, Watch ? 
Republic TV Live News Updates ?http://bit.ly/RepublicTVLiveNews
The Debate With Arnab Goswami ? http://bit.ly/TheDebateWithArnabGoswami
Exclusive Sunday Debate With Arnab Goswami ? http://bit.ly/SundayDebate
The Grand Strategy With Maj Gen G.D Bakshi (Retd) ? https://bit.ly/3EPZ6xF
R.Explained ? https://bit.ly/3sOLT5K
R.Uninterrupted ? https://bit.ly/34isZdh

You can stay connected with Republic TV on -

Facebook - https://www.facebook.com/RepublicWorld
Twitter - https://twitter.com/republic
Instagram: https://www.instagram.com/republicworld
WhatsApp Channel: https://whatsapp.com/channel/0029Va1whYb7dmeZr7v3ar0y
Telegram: https://t.me/RepublicLive

Disclaimer: Republic Media Network may provide content through third-party websites, operating systems, platforms, and portals (‘Third-Party Platforms’). Republic does not control and has no liability for Third-Party Platforms, including content hosted, advertisements, security, functionality, operation, or availability.",FALSE,8661,Republic World,FALSE
6gyKrXZP35o,Air India Salutes its Fallen Comrades | Ahmedabad Airplane Crash News | India Today,261,gujarat; plane crash; air india emergency landing; ahmedabad; ahmedabad airport; emergency landing; ahmedabad emergency landing; gujarat plane crash; ahmedabad plane crash; gujarat plane emergency landing; plane crash near ahmedabad airport; air india plane crash; plane crash in ahmedabad; passenger plane crash in ahmedabad; ahmedabad airport accident; plane crash near ahmedabad; ahmedabad crash in ahmedabad; airplane crash caught on camera; aircraft accident ahmedabad,"The crash of Air India Flight 171 in Ahmedabad has resulted in the loss of 265 lives, including 10 crew members and two pilots. The tragedy has affected families across India, from Manipur to Maharashtra. Captain Summit Samarwal, with 8200 flying hours, and co-pilot Clive Kundar were among those who perished. The cabin crew included 27-year-old Roshni Songhare, a travel influencer, and Deepak Pathak, an 11-year Air India veteran. #airindiacrash #ai171 #ahmedabadcrash #itwebvideos #aviationtragedy #airindia #dreamliner

Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new video.

All you need to do is PRESS THE BELL ICON next to the Subscribe button!

India Today TV is India's leading English News Channel. India Today YouTube channel offers latest news videos on Politics, Business, Cricket, Bollywood, Lifestyle, Auto, Technology, Travel, Entertainment and a lot more.

Stay tuned for latest updates and in-depth analysis of news from India and around the world!

WhatsApp Channel: https://whatsapp.com/channel/0029Va2AnW3JENxxg7OuJv00

Download App: https://indiatoday.link/wHaj

Follow us: Official website: https://www.indiatoday.in/

Twitter: https://twitter.com/IndiaToday

Facebook: https://www.facebook.com/IndiaToday",TRUE,116262,India Today,FALSE
9p4mx2CRzQw,Air India confirms 241 on board plane killed with one survivor in Ahmedabad crash | BBC News,628,bbc; bbc news; news; world news; breaking news; us news; world; america; usa; usa news; india news; India; Air India; UK; Crash; Plane crash,"Air India has confirmed that 241 passengers and crew have died after a London-bound plane crashed shortly after take-off in Ahmedabad, western India.
 
In a statement the airline said that the ""sole survivor"" - a British citizen - is being treated in hospital.
 
There were 169 Indian nationals, 53 Britons, seven Portuguese nationals and one Canadian on the flight, according to Air India.
 
Subscribe here: http://bit.ly/1rbfUog
 
For more news, analysis and features visit: www.bbc.com/news
 
#India #UK #BBCNews",TRUE,506677,BBC News,FALSE
iRAnUKz9tcE,"Big Breakthrough in Ahmedabad Plane Crash Investigation, Black Box Of Air India 171 Plane Found",439,gujarat; plane crash; air india emergency landing; ahmedabad; ahmedabad airport; emergency landing; ahmedabad emergency landing; gujarat plane crash; ahmedabad plane crash; gujarat plane emergency landing; plane crash near ahmedabad airport; air india plane crash; plane crash in ahmedabad; passenger plane crash in ahmedabad; ahmedabad airport accident; plane crash near ahmedabad; ahmedabad crash in ahmedabad; airplane crash caught on camera; aircraft accident ahmedabad,"The crashed Ahmedabad-London Air India flight's black box has been recovered, the Ministry of Civil Aviation informed on Friday. The orange-coloured device located near the tail of a plane will help investigate the crash that has claimed at least 265 lives so far. Union Minister of Civil Aviation Ram Mohan Naidu said, ""The Flight Data Recorder (Black Box) has been recovered within 28 hours from the accident site in Ahmedabad by AAIB. This marks an important step forward in the investigation. This will significantly aid the enquiry into the incident."" 

#ahmedabadplanecrash #blackbox #blackboxrecovery #itwebvideos #ahmedabadnews #ahmedabadairplanecrash #ahmedabadcrash #gujaratnews #indiatoday #indiatodaynews 

Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new video. 

All you need to do is PRESS THE BELL ICON next to the Subscribe button! 

India Today TV is India's leading English News Channel. India Today YouTube channel offers latest news videos on Politics, Business, Cricket, Bollywood, Lifestyle, Auto, Technology, Travel, Entertainment and a lot more. 

Stay tuned for latest updates and in-depth analysis of news from India and around the world! 

WhatsApp Channel: https://whatsapp.com/channel/0029Va2AnW3JENxxg7OuJv00

Download App: https://indiatoday.link/wHaj

Follow us: Official website: https://www.indiatoday.in/

Twitter: https://twitter.com/IndiaToday 

Facebook: https://www.facebook.com/IndiaToday",TRUE,84818,India Today,FALSE
TlXmfoE8ne0,"LIVE: Black Box Recovered, Air India Plane Crash Investigation Begins | Ahmedabad Plane Crash News",42898,ahmedabad plane crash; air india plane crash; plane crash; plane crash in ahmedabad; ahmedabad plane crash news; ahmedabad plane crash live; passenger plane crash in ahmedabad; plane crash in ahmedabad live updates; ahmedabad mein plane crash; plane crash in Ahmedabad; Plane Crashes In Gujarat Ahmedabad; Ahmedabad plane crash news; Ahmedabad Airport news; Air India plane crash; Air India Ahmedabad crash; Air India crash video; Why did AI171 crash; Air India AI171 crash,"LIVE: Black Box Recovered, Air India Plane Crash Investigation Begins | Ahmedabad Plane Crash News

At least 265 people died in Ahmedabad after a London-bound Air India plane crashed into a government-run medical hostel moments after taking off from the city airport on Wednesday. The airline confirmed that the flight carried 242 passengers and there was only one survivor, who was seated on 11A. It also said that a digital video recorder was found, but a search was on to find the black box after earlier reports suggested that it had been discovered. 

#boeing787 #boeing787dreamliner #airsafety #injuredpassengers #emergencyresponse #internationalflight #airindia #airport #indianaviation #gatwickairport #londongatwick #242  #ahmedabadplanecrash #ahmedabadairplanecrash #ahmedabadnews #planecrashnewslive #planecrashnews #gujaratnews #gujaratplanecrashnews #gujaratplanecrashnewslive #indiatodaynews #indiatodaylive #indiatodaylivestream 

Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new video. 

All you need to do is PRESS THE BELL ICON next to the Subscribe button! 

India Today TV is India's leading English News Channel. India Today YouTube channel offers latest news videos on Politics, Business, Cricket, Bollywood, Lifestyle, Auto, Technology, Travel, Entertainment and a lot more. 

Stay tuned for latest updates and in-depth analysis of news from India and around the world! 

WhatsApp Channel: https://whatsapp.com/channel/0029Va2AnW3JENxxg7OuJv00

Download App: https://indiatoday.link/wHaj

Follow us: Official website: https://www.indiatoday.in/

Twitter: https://twitter.com/IndiaToday 

Facebook: https://www.facebook.com/IndiaToday",TRUE,284102,India Today,FALSE
