sentence,source_index,cluster
over the course of the last few years  there has been an impressive trend when it comes bitcoin hodlers.,0,1
the number of long term holders is always rising  and it has now reached the point that 62% of all bitcoin has not been moved in at least a year.,0,0
62% of bitcoin has not moved in a year  the significance of not moving so much bitcoin is that the asset becomes far scarcer.,0,0
as more and more bitcoin stays still  there are fewer bitcoin being sent to exchanges to be traded and fewer bitcoin that can be sold on the market.62% of bitcoin has not moved in a year as long term holders refuse to sell,0,0
russia legalizing bitcoin and crypto is a matter of time says minister of industry and tradethe central african republic adopts bitcoin as legal tenderbiden administration to regulate bitcoin as a matter of national security  reporteu parliament votes for bitcoin privacy busting rulesbitcoin touches  40 000 as fed raises rates in biggest hike in 20 yearsiran bans bitcoin mining until marchparaguay s bitcoin bill passes the senateillinois  georgia want to give tax cuts for bitcoin minersclimate advocate cftc chair wants to change bitcointurkey crafts legislation for bitcoin  crypto oversight  reportdata points the state of lightning network adoptionbitcoin rises above  22 000 as fed raises interest rates by 0.the orange party issue playlist,1,1
bitcoin has a maximum supply of 21 million.,2,0
however  that doesn t tell the whole story.,2,2
as time goes on  it becomes increasingly difficult to acquire bitcoin due to the asset s economics.,2,1
here is a full breakdown of how bitcoin works and exactly why it has a limited supply.read  looking to diversify in a bear market  consider these 6 alternative investmentsbitcoin tokenomics  proof of work  mining and halving cyclestokenomics  as one can imagine  refers to the economics of a token.,2,1
similar to how fiat currencies  like the dollar  are issued by governments and regulated through monetary policy  tokenomics refers to the rules and functions revolving around cryptocurrency.how many bitcoins are there,2,1
conceived in 2008 and launched in 2009  bitcoin is the world s first and largest cryptocurrency.,3,1
back in 2010  a single bitcoin could be purchased for roughly  0.0011 australian dollars.,3,0
today  its value is more than 24 000 000% higher but it hasn t all been gains.,3,0
in the years since  we ve seen prices peak as high as almost us 69 000  but we ve also seen prices fall by as much as  us22 000 in as little as three weeks.,3,0
here s a brief history of bitcoin s biggest price movements and the milestones along the path  from thousandths of a cent to tens of thousands of us dollars.bitcoin 2008 2022  from bouncing baby to troubled teenager,3,0
bear markets are for building out capacity on the layer 2 lightning network.,4,2
despite macroeconomic headwinds and sluggish price action  the lightning network  the layer 2 payments solution fo bitcoin  btc   continues to flourish.the bitcoin lightning network reached a milestone capacity of 5 000 btc   96 million .,4,1
in effect  more and more bitcoin is being introduced to lightning network payment channels worldwide  as bitcoiners continue to support the growth of the network.bitcoin lightning network capacity.bitcoin lightning network capacity strikes 5 000 btc,4,1
bitcoin atm in honey brook bitcoin atm at ziffy s in honey brook  honey brook  pa  united states  october 3  2022   einpresswire.com      hippo kiosks llc   a bitcoin atm company based in pennsylvania  has deployed a new bitcoin atm in honey brook  pa.,5,1
the new machine is located at ziffy s at 403 horseshoe pike  honey brook  pa 19344.,5,2
the bitcoin atm in honey brook is available to customers 7 days a week  and is servicing the citizens of honey brook as well as the entire marple township and delaware county.new bitcoin atm opens in honey brook  pa for buying and selling crypto currency,5,1
