sentence,cluster,orig_idx,title,umap_x,umap_y
an air india plane has crashed shortly after taking off from ahmedabad airport in western india local media has reported.,22,0,air india plane crashes shortly after take off in ahmedabad,-0.731357,7.781893
air india said on thursday that flight ai171 a passenger flight to london gatwick airport was involved in an incident .,-1,0,air india plane crashes shortly after take off in ahmedabad,0.09633028,6.6515512
gatwick airport said that flight ai171 had been due to arrive at 6.25pm local time 17 25gmt .air,4,0,air india plane crashes shortly after take off in ahmedabad,0.81816846,9.152302
india plane crashes shortly after take off in ahmedabad,22,0,air india plane crashes shortly after take off in ahmedabad,-0.63864547,7.6326623
warning video in this report may be disturbing to viewers an air india plane carrying 242 passengers and crew crashed shortly after takeoff in the city of ahmedabad on thursday the airline said.,-1,1,video shows air india plane crashing in ahmedabad,-0.37936208,7.591205
video taken by residents shows the boeing 787 8 dreamliner losing altitude and exploding.video shows air india plane crashing in ahmedabad,25,1,video shows air india plane crashing in ahmedabad,-0.43077543,5.339864
ahmedabad plane crash what air india pilot s final words could mean?,18,2,ahmedabad plane crash what air india pilot s final words could mean what is a black box,1.0327079,6.192331
what is a black box?,15,2,ahmedabad plane crash what air india pilot s final words could mean what is a black box,1.7375743,3.3425472
at least 265 people died in ahmedabad after a london bound air india plane crashed into a government run medical hostel moments after taking off from the city airport on wednesday.,23,2,ahmedabad plane crash what air india pilot s final words could mean what is a black box,0.22962597,7.3744383
the airline confirmed that the flight carried 242 passengers and there was only one survivor who was seated on 11a.,5,2,ahmedabad plane crash what air india pilot s final words could mean what is a black box,1.8255187,8.830031
it also said that a digital video recorder was found but a search was on to find the black box after earlier reports suggested that it had been discovered.ahmedabad plane crash what air india pilot s final words could mean what is a black box,15,2,ahmedabad plane crash what air india pilot s final words could mean what is a black box,1.5860206,3.6066637
doctors in india say 270 bodies have been recovered from the site of thursday s plane crash in ahmedabad.,-1,3,air india plane crash death toll rises to 270,0.6701898,7.3757224
the london bound aircraft crashed into a residential area shortly after take off killing all but one of the 242 passengers and crew members a 40 year old british man.,22,3,air india plane crash death toll rises to 270,-0.9007411,7.6183586
officials have also been trying to establish how many people were killed on the ground and have been continuing the slow process of matching dna samples to confirm the victims identities.,21,3,air india plane crash death toll rises to 270,1.9938836,6.597055
vigils honouring the dead have taken place across india and the uk.,21,3,air india plane crash death toll rises to 270,1.8655083,5.985321
india s aircraft accident investigation bureau aaib is leading the inquiry into the cause of the crash helped by teams from the us and uk.air india plane crash death toll rises to 270,13,3,air india plane crash death toll rises to 270,1.2187449,4.26665
ahmedabad plane crash what air india pilot s final words could mean india today at least 265 people died in ahmedabad after a london bound air india plane crashed into a government run medical hostel moments after taking off from the city airport on wednesday.,-1,4,ahmedabad plane crash what air india pilot s final words could mean,0.28149033,6.6934323
the airline confirmed that the flight carried 242 passengers and there was only one survivor who was seated on 11a.,5,4,ahmedabad plane crash what air india pilot s final words could mean,1.867755,8.83482
it also said that a digital video recorder was found but a search was on to find the black box after earlier reports suggested that it had been discovered.ahmedabad plane crash what air india pilot s final words could mean,15,4,ahmedabad plane crash what air india pilot s final words could mean,1.5050856,3.6397514
ahmedabad plane crash 2nd black box recovered of air india flight ai 171 from crash site in a key development in the investigation of the tragic ahmedabad plane crash authorities have recovered the second black box of air india flight ai171 from the crash site.,15,5,ahmedabad plane crash 2nd black box recovered of air india flight ai 171 from crash site,1.8529491,3.4516444
the black box which contains crucial flight data and cockpit voice recordings will aid forensic experts and aviation authorities in piecing together the final moments before the crash.,15,5,ahmedabad plane crash 2nd black box recovered of air india flight ai 171 from crash site,1.6837515,3.470572
recovery teams along with dgca and air india officials continue to work at the site.,1,5,ahmedabad plane crash 2nd black box recovered of air india flight ai 171 from crash site,-0.38142493,2.7074733
this discovery is expected to shed light on the technical or human factors that may have led to the fatal incident.,14,5,ahmedabad plane crash 2nd black box recovered of air india flight ai 171 from crash site,0.892922,3.3856347
