cluster,n_sentences,sample_sentence,keywords
0,7,enjoy and stay connected with us!! ?,"background, enjoy, safe, video thank, stay, music used, informed stay, connected"
1,11,recovery teams along with dgca and air india officials continue to work at the site.,"emergency, response teams, operations underway, ahmedabad, india officials, mumbai better, knows mumbai, firefighters dispatched"
2,23,we believe in breaking the story and breaking the silence.,"hidden stories, breaking silence, world politics, headlines uncover, importantly republic, biased reportage, republic voice, documentary awareness"
3,15,republic tv makes news accessible at all times and across devices.,"india, news world, rtv, republic updated, rtv network, vantage, audience vantage, global indian"
4,10,gatwick airport said that flight ai171 had been due to arrive at 6.25pm local time 17 25gmt .air,"london gatwick, gatwick, air india, occurred boeing, aircraft took, london incident, airport ahmedabad, flight identified"
5,16,the airline confirmed that the flight carried 242 passengers and there was only one survivor who was seated on 11a.,"killed 241, crash killed, 78 people, 11a flight, 242 people, ai171 boeing, passengers onboard, occurred flight"
6,8,a total of 242 passengers were onboard the ahmedabad london gatwick air india flight.,"53 britons, passengers crew, british nationals, gatwick air, air disasters, 169 indians, flying ahmedabad, flight ai171"
7,7,.............................................................................................. news9 is india s first fully integrated english news brand across all digital platforms.,"india, premium insights, integrated english, includes publishing, brand digital, platform viz, business standard, news9"
8,19,the indian express covers a wide spectrum of national and international news including daily updates political developments election coverage gadget and mobile reviews technology updates entertainment news bollywood trends sports news and public opinions on daily topics.,"analysis international, india declared, daily world, dainik, air india, dainik jagran, bollywood trends, indian readership"
9,6,his video which instantly went viral gave one of the immediate perspectives of the tragedy.,"based real, style 3d, animation style, perspectives tragedy, incident recreated, video, eyewitness accounts, 3d animation"
10,17,the video shows the aircraft losing power within 30 seconds of takeoff failing to gain altitude and ultimately crashing in a ball of fire.,"crashed, aircraft losing, flightradar24 aircraft, exploded fireball, filming plane, nagar crashing, plane dainik, explosion accident"
11,19,visuals from the meghani area where the plane crashed showed thick black smoke encompassing the air.,"ahmedabad 244, billowing wreckage, smoke emanating, buildings burning, mangled plane, ahmedabad images, india flight, plane crashed"
12,6,prime minister narendra modi met with the survivor and wished him a speedy recovery.lone survivor of air india 171 crash recounts miraculous escape ahmedabad plane crash,"survivor ramesh, narendra modi, minister narendra, patel reached, site ahmedabad, escape ahmedabad, india plane, plane crash"
13,20,india s aircraft accident investigation bureau aaib is leading the inquiry into the cause of the crash helped by teams from the us and uk.air india plane crash death toll rises to 270,"ahmedabad air, aircraft safety, boeing officials, india flight, accident investigation, investigation indian, ntsb boeing, india crash"
14,7,this discovery is expected to shed light on the technical or human factors that may have led to the fatal incident.,"discovery, incident, authorities begun, discovery expected, cause tragic, accident, authorities investigating, crash cause"
15,21,what is a black box?,"investigation tragic, recovered aircraft, significance black, box investigating, india plane, tragic ahmedabad, investigate crash, black box"
16,19,in a statement the airline said that the sole survivor a british citizen is being treated in hospital.,"ahmedabad air, disaster vishwash, 11a survived, passenger vishwash, india boeing, plane impact, passenger downed, ramesh survived"
17,10,the tragedy has affected families across india from manipur to maharashtra. captain summit samarwal with 8200 flying hours and co pilot clive kundar were among those who perished.,"sabharwal clive, career pilot, maharashtra captain, perished cabin, pilot clocked, tragedy affected, kundar perished, flight stories"
18,10,ahmedabad plane crash what air india pilot s final words could mean?,"plane lost, crashed killing, ahmedabad 2025, flight 171, fireball ahmedabad, message ahmedabad, india pilot, aviation disasters"
19,9,the plane crashed into a medical hostel mess where approximately 30 doctors were present.,"compensation crore, rupees victim, crashed building, plane struck, air india, crashed doctors, college ahmedabad, ahmedabad airport"
20,10,both the aviators captain sumeet sabharwal and first officer clive kunder met a cruel end on thursday as the boeing 787 8 dreamliner crashed.,"ahmedabad breaking, ai171 ahmedabad, air india, crashed boeing, 787 crashes, india flight, ahmedabad airport, 787 crashed"
21,14,officials have also been trying to establish how many people were killed on the ground and have been continuing the slow process of matching dna samples to confirm the victims identities.,"nation mourning, deaths confirmed, 241 passengers, victims identities, 171 crashed, families india, india flight, victims ground"
22,23,an air india plane has crashed shortly after taking off from ahmedabad airport in western india local media has reported.,"london ahmedabad, aircraft crashed, flight crashes, plane crashed, air india, airport india, crashed gujarat, ahmedabad airport"
23,15,at least 265 people died in ahmedabad after a london bound air india plane crashed into a government run medical hostel moments after taking off from the city airport on wednesday.,"ahmedabad london, india flight, 171 ahmedabad, ahmedabad resulting, ahmedabad survivors, ahmedabad killing, ahmedabad airport, crashes ahmedabad"
24,5,i stood up and ran ramesh told the hindustan times briton is sole survivor of air india plane crash that killed more than 290 police say ?,"rising india, hindustan, crash survivor, hindustan times, crash killed, passengers crashes, ahmedabad airport, ramesh told"
25,12,video taken by residents shows the boeing 787 8 dreamliner losing altitude and exploding.video shows air india plane crashing in ahmedabad,"live ahmedabad, flight crash, video ahmedabad, plane crashing, ahmedabad footage, india boeing, plane crashes, ahmedabad airport"
26,15,the plane was being flown by captain sumeet sabharwal and first officer clive kundar.ahmedabad plane crash live updates rescue operations continue in air india disaster,"india crash, air india, awaited ahmedabad, plane crash, plane crashed, location ahmedabad, live ahmedabad, incident ahmedabad"
